Letter,Letter_URL,Num,Title,Image_URL,by_VG
let054,https://vangoghletters.org/vg/letters/let054/letter.html,1661,Anonymous - Portrait of a woman,https://vangoghletters.org/vg/illustrations/1661.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,1741,Jean Ferdinand Chaigneau - Woman guarding sheep,https://vangoghletters.org/vg/illustrations/1741.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,1718,Karl Bodmer - Forest of Fontainebleau,https://vangoghletters.org/vg/illustrations/1718.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,64,Ferdinand Victor Eugène Delacroix - Liberty guiding the people,https://vangoghletters.org/vg/illustrations/64.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,71,Ferdinand Victor Eugène Delacroix - Jacob wrestling with the angel,https://vangoghletters.org/vg/illustrations/71.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,72,"Ferdinand Victor Eugène Delacroix - Aline, the mulatto woman",https://vangoghletters.org/vg/illustrations/72.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,1742,Charles-François Daubigny - Sunset,https://vangoghletters.org/vg/illustrations/1742.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,1743,Paul (Hippolyte) Delaroche - Good Friday,https://vangoghletters.org/vg/illustrations/1743.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,1744,Paul (Hippolyte) Delaroche - Gethsemane,https://vangoghletters.org/vg/illustrations/1744.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,1745,Paul (Hippolyte) Delaroche - Mater Dolorosa (Goupil photograph),https://vangoghletters.org/vg/illustrations/1745.jpg,False
let054,https://vangoghletters.org/vg/letters/let054/letter.html,1746,Gustave Brion - The farewells (Goupil photograph),https://vangoghletters.org/vg/illustrations/1746.jpg,False
let040,https://vangoghletters.org/vg/letters/let040/letter.html,57,Honoré Daumier - On a day out by train,https://vangoghletters.org/vg/illustrations/57.jpg,False
